"S.No","RMSE","std. RMSE","Meaning_Error","std. Meaning Error","Sentence_Error","std. Sentence Error","leak_rate","spectral_radius","input_scaling"
565,0.5158579445,0.0147692014,0.0787137681,0.016792462,0.2130434783,0.0347826087,0.09,2.2,2.3
584,0.5157304399,0.0144241307,0.0785326087,0.0185767922,0.2130434783,0.0361157559,0.09,2.4,2
663,0.5206346993,0.0167113941,0.0785326087,0.0191123188,0.2130434783,0.0347826087,0.11,2,2.2
566,0.5166505519,0.0153373293,0.078442029,0.016975904,0.2130434783,0.0386443236,0.09,2.2,2.4
636,0.5213954928,0.0183222655,0.078442029,0.0180169396,0.2130434783,0.0319498662,0.11,1.7,2.8
652,0.5185602633,0.015378831,0.0780797101,0.0162529383,0.2130434783,0.0319498662,0.11,1.9,2.2
449,0.5101726871,0.0136270672,0.0779891304,0.0215513097,0.2130434783,0.0361157559,0.07,2.2,2.8
655,0.5212384631,0.0175113351,0.0778985507,0.0170809414,0.2130434783,0.0398484843,0.11,1.9,2.5
466,0.5098801116,0.0124169772,0.077807971,0.0137934193,0.2130434783,0.0361157559,0.07,2.4,2.3
744,0.5241937987,0.0188802199,0.0777173913,0.018146713,0.2130434783,0.0304347826,0.13,1.6,2.6
755,0.5262250205,0.0196877488,0.0777173913,0.0187340214,0.2130434783,0.0386443236,0.13,1.7,2.6
634,0.519192386,0.0162117856,0.0776268116,0.0176528213,0.2130434783,0.0333962859,0.11,1.7,2.6
439,0.5106230836,0.0138214647,0.0770833333,0.02259578,0.2130434783,0.0386443236,0.07,2.1,2.9
742,0.5216999062,0.0164506763,0.0759963768,0.0162663103,0.2130434783,0.0319498662,0.13,1.6,2.4
728,0.5183137381,0.0128129903,0.075634058,0.015421179,0.2130434783,0.02341376,0.13,1.5,2.1
741,0.5206255112,0.0154191432,0.075634058,0.0159751899,0.2130434783,0.0347826087,0.13,1.6,2.3
740,0.5198949903,0.0146636552,0.0750905797,0.0174301819,0.2130434783,0.0333962859,0.13,1.6,2.2
600,0.5219000501,0.0188930128,0.0844202899,0.0227418217,0.2152173913,0.0406120472,0.09,2.5,2.5
484,0.5147778623,0.0155252469,0.0832427536,0.0184678235,0.2152173913,0.0394312112,0.07,2.5,3
602,0.5235508801,0.0195870706,0.0829710145,0.0227396569,0.2152173913,0.0428762672,0.09,2.5,2.7
457,0.5096889465,0.0127260325,0.080615942,0.0164894883,0.2152173913,0.0298863632,0.07,2.3,2.5
672,0.5194531998,0.0161109201,0.0805253623,0.0212059077,0.2152173913,0.038213904,0.11,2.1,2
548,0.5168154115,0.0159817713,0.0797101449,0.0165639557,0.2152173913,0.0394312112,0.09,2,2.8
460,0.5108118153,0.0138096352,0.0795289855,0.0187296413,0.2152173913,0.0406120472,0.07,2.3,2.8
631,0.5164779902,0.0136026252,0.079076087,0.0162794193,0.2152173913,0.0226963185,0.11,1.7,2.3
871,0.527963693,0.0191784581,0.0787137681,0.0217408287,0.2152173913,0.0439646705,0.15,1.7,2.1
620,0.516585314,0.0130614571,0.0781702899,0.0168393016,0.2152173913,0.0298863632,0.11,1.6,2.3
761,0.5237338048,0.0170198576,0.0776268116,0.0204720165,0.2152173913,0.0460643915,0.13,1.8,2.1
437,0.5098537099,0.0132256305,0.0775362319,0.0221066459,0.2152173913,0.0439646705,0.07,2.1,2.7
592,0.5236107555,0.01933745,0.085326087,0.022871332,0.2152173913,0.0417595059,0.09,2.4,2.8
591,0.5228276293,0.0190292003,0.0845108696,0.0232211117,0.2152173913,0.0450267721,0.09,2.4,2.7
590,0.5220004713,0.0186529219,0.0842391304,0.0239171604,0.2152173913,0.0480724878,0.09,2.4,2.6
603,0.5242745406,0.0197950472,0.084057971,0.0188562505,0.2152173913,0.0343037692,0.09,2.5,2.8
668,0.5258135504,0.0201037946,0.0824275362,0.0186559023,0.2152173913,0.0406120472,0.11,2,2.7
670,0.5274522,0.0209499614,0.0822463768,0.0153761559,0.2152173913,0.0369565217,0.11,2,2.9
669,0.5263508605,0.0204320293,0.0817028986,0.0161007823,0.2152173913,0.0343037692,0.11,2,2.8
481,0.5124984303,0.0139325218,0.0807971014,0.0133050464,0.2152173913,0.0282608696,0.07,2.5,2.7
635,0.5202625901,0.0172240115,0.0804347826,0.0180424233,0.2152173913,0.0356548249,0.11,1.7,2.7
576,0.5178753656,0.0161155334,0.0798913043,0.0185845197,0.2152173913,0.038213904,0.09,2.3,2.3
648,0.5230240962,0.0196360096,0.0789855072,0.0173516305,0.2152173913,0.0356548249,0.11,1.8,2.9
630,0.5158613393,0.012922472,0.0788949275,0.0156755248,0.2152173913,0.0265359905,0.11,1.7,2.2
653,0.5191613548,0.0159413522,0.0780797101,0.0160497432,0.2152173913,0.0356548249,0.11,1.9,2.3
743,0.5229085225,0.0176184188,0.0780797101,0.0179283768,0.2152173913,0.0298863632,0.13,1.6,2.5
745,0.5255304925,0.0201633133,0.0779891304,0.0202398533,0.2152173913,0.0356548249,0.13,1.6,2.7
664,0.5217095421,0.0174995258,0.0778985507,0.0173383857,0.2152173913,0.0314278963,0.11,2,2.3
537,0.5156540789,0.0153984016,0.077807971,0.0212136444,0.2152173913,0.0428762672,0.09,1.9,2.8
754,0.5249538422,0.0186890358,0.0773550725,0.0177970115,0.2152173913,0.0328972738,0.13,1.7,2.5
729,0.5191385861,0.0136764113,0.0765398551,0.016634391,0.2152173913,0.0298863632,0.13,1.5,2.2
472,0.5126230396,0.0146366741,0.0828804348,0.0188059272,0.2173913043,0.0322443412,0.07,2.4,2.9
549,0.517574653,0.0166764122,0.0826086957,0.0167892859,0.2173913043,0.0363765229,0.09,2,2.9
560,0.5188309628,0.017121246,0.0821557971,0.0159587466,0.2173913043,0.0307437731,0.09,2.1,2.9
525,0.5143085322,0.0143649283,0.0815217391,0.0233337272,0.2173913043,0.0388881387,0.09,1.8,2.7
881,0.5258901543,0.0192248451,0.0814311594,0.02900093,0.2173913043,0.0549961332,0.15,1.8,2
772,0.52463595,0.0185167493,0.08125,0.0226414852,0.2173913043,0.0400849759,0.13,1.9,2.1
462,0.5122951751,0.0150014782,0.0811594203,0.0196004112,0.2173913043,0.0376532784,0.07,2.3,3
551,0.5129183307,0.012010925,0.0807971014,0.0141652303,0.2173913043,0.0412470999,0.09,2.1,2
660,0.5255085471,0.0206178009,0.0807065217,0.0170542616,0.2173913043,0.0336781161,0.11,1.9,3
637,0.5224396036,0.0192722934,0.0799818841,0.0180571964,0.2173913043,0.0363765229,0.11,1.7,2.9
733,0.5242261816,0.0185731546,0.0798007246,0.017297879,0.2173913043,0.0307437731,0.13,1.5,2.6
562,0.5136510484,0.0126856894,0.0797101449,0.0145774248,0.2173913043,0.0423773667,0.09,2.2,2
542,0.5129766646,0.012532265,0.0797101449,0.0143448064,0.2173913043,0.0307437731,0.09,2,2.2
524,0.5137071669,0.0136591167,0.0795289855,0.0205789447,0.2173913043,0.0376532784,0.09,1.8,2.6
735,0.5270098315,0.0212628219,0.0795289855,0.0185004485,0.2173913043,0.0423773667,0.13,1.5,2.8
575,0.5166579243,0.0152569123,0.0794384058,0.0155789202,0.2173913043,0.0336781161,0.09,2.3,2.2
771,0.5230122286,0.0176254323,0.0792572464,0.0200025351,0.2173913043,0.0423773667,0.13,1.9,2
621,0.5172236491,0.0136550063,0.079076087,0.0169364682,0.2173913043,0.0322443412,0.11,1.6,2.4
540,0.51275252,0.0117358332,0.079076087,0.0138029332,0.2173913043,0.0434782609,0.09,2,2
429,0.5117665781,0.0139719666,0.0788949275,0.0223475033,0.2173913043,0.0423773667,0.07,2,3
730,0.5201836731,0.0146973692,0.0777173913,0.0173894172,0.2173913043,0.0274980666,0.13,1.5,2.3
450,0.5107028993,0.0140558254,0.0776268116,0.0220354577,0.2173913043,0.0350532946,0.07,2.2,2.9
629,0.5154201748,0.0123250179,0.0776268116,0.0161427682,0.2173913043,0.0307437731,0.11,1.7,2.1
760,0.522615018,0.01625912,0.0773550725,0.0177785613,0.2173913043,0.0412470999,0.13,1.8,2
623,0.5189035168,0.0153615103,0.0772644928,0.0196874953,0.2173913043,0.0376532784,0.11,1.6,2.6
438,0.5101320557,0.0135216693,0.0765398551,0.0223357517,0.2173913043,0.0434782609,0.07,2.1,2.8
523,0.5132915855,0.0130624432,0.0760869565,0.0157254308,0.2173913043,0.0291661041,0.09,1.8,2.5
854,0.5289190854,0.0206436457,0.0780797101,0.0193416847,0.2195652174,0.038213904,0.15,1.5,2.6
598,0.5198171285,0.0177274361,0.0823369565,0.0202195745,0.2195652174,0.0356548249,0.09,2.5,2.3
674,0.5224386835,0.0181750258,0.0822463768,0.0235221398,0.2195652174,0.0406120472,0.11,2.1,2.2
456,0.5095024636,0.012473366,0.0819746377,0.0178937919,0.2195652174,0.0328972738,0.07,2.3,2.4
446,0.5093928495,0.0126611192,0.0817028986,0.0186153976,0.2195652174,0.0439646705,0.07,2.2,2.5
552,0.5132435626,0.0125648791,0.0807065217,0.0130538531,0.2195652174,0.0343037692,0.09,2.1,2.1
762,0.5249235361,0.0178406075,0.080615942,0.0217655335,0.2195652174,0.0439646705,0.13,1.8,2.2
455,0.5095378448,0.012277612,0.0801630435,0.0152607324,0.2195652174,0.0298863632,0.07,2.3,2.3
870,0.5264638534,0.0184772999,0.0801630435,0.0235062638,0.2195652174,0.0428762672,0.15,1.7,2
615,0.5216462867,0.0180939368,0.0798913043,0.0213959936,0.2195652174,0.0490457138,0.11,1.5,2.9
746,0.5267332275,0.0214009827,0.0792572464,0.0202714477,0.2195652174,0.0460643915,0.13,1.6,2.8
732,0.522793774,0.017198028,0.0791666667,0.0174994749,0.2195652174,0.0265359905,0.13,1.5,2.5
522,0.5130475251,0.0125746936,0.0789855072,0.0165133544,0.2195652174,0.0369565217,0.09,1.8,2.4
651,0.5175128103,0.0144020938,0.0789855072,0.0152959068,0.2195652174,0.0282608696,0.11,1.9,2.1
541,0.5127842766,0.0121128467,0.0789855072,0.0134705155,0.2195652174,0.0369565217,0.09,2,2.1
622,0.517992044,0.0144369991,0.0788949275,0.0201870861,0.2195652174,0.0406120472,0.11,1.6,2.5
640,0.5159591843,0.0131409535,0.0788949275,0.0146192958,0.2195652174,0.038213904,0.11,1.8,2.1
624,0.5199191486,0.0164054327,0.0787137681,0.0200279502,0.2195652174,0.038213904,0.11,1.6,2.7
853,0.5276358055,0.0193066897,0.0786231884,0.0208600962,0.2195652174,0.038213904,0.15,1.5,2.5
428,0.511133788,0.0137159714,0.078442029,0.0225585308,0.2195652174,0.038213904,0.07,2,2.9
727,0.5176989433,0.0120771475,0.078442029,0.0143516683,0.2195652174,0.0246909059,0.13,1.5,2
616,0.5225580701,0.0191172389,0.0778985507,0.0210449242,0.2195652174,0.0450267721,0.11,1.5,3
654,0.520337633,0.0168324432,0.0778985507,0.0169652678,0.2195652174,0.0328972738,0.11,1.9,2.4
752,0.5230887885,0.0170369997,0.0770833333,0.0168266288,0.2195652174,0.0328972738,0.13,1.7,2.3
675,0.5236400292,0.0187795785,0.08125,0.0236204722,0.2217391304,0.0421537379,0.11,2.1,2.3
757,0.5281731906,0.0214070769,0.0783514493,0.0203361032,0.2217391304,0.0512601136,0.13,1.7,2.8
855,0.5302096745,0.0220593539,0.0783514493,0.0191517726,0.2217391304,0.0398484843,0.15,1.5,2.7
874,0.5316837672,0.020730313,0.0845108696,0.0244264778,0.2217391304,0.0432603234,0.15,1.7,2.4
473,0.513388991,0.0152846885,0.0843297101,0.01906676,0.2217391304,0.0386443236,0.07,2.4,3
475,0.5104030942,0.0121052772,0.083423913,0.0175661594,0.2217391304,0.0386443236,0.07,2.5,2.1
676,0.5248372196,0.0194518022,0.0828804348,0.0214436823,0.2217391304,0.0410173093,0.11,2.1,2.4
673,0.5209960576,0.0173144171,0.0826992754,0.0231006676,0.2217391304,0.0398484843,0.11,2.1,2.1
